,Token,Lemma,Pos,Chunklabel,DepREL,Previous,PTokenPos,Negation
1,used,use,VERB,VBN,acl,practitioner,NOUN,O
1,to,to,ADP,IN,aux,used,VERB,O
1,carry,carry,VERB,VB,xcomp,to,ADP,O
1,--,--,PUNCT,:,punct,carry,VERB,O
1,dignified,dignified,ADJ,JJ,acomp,--,PUNCT,O
1,",",",",PUNCT,",",punct,dignified,ADJ,O
1,solid,solid,ADJ,JJ,conj,",",PUNCT,O
1,",",",",PUNCT,",",punct,solid,ADJ,O
1,and,and,CCONJ,CC,cc,",",PUNCT,O
1,reassuring,reassure,VERB,VBG,conj,and,CCONJ,O
1,.,.,PUNCT,.,punct,reassuring,VERB,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,Well,well,INTJ,UH,intj,``,PUNCT,O
1,",",",",PUNCT,",",punct,Well,INTJ,O
1,Watson,Watson,PROPN,NNP,npadvmod,",",PUNCT,O
1,",",",",PUNCT,",",punct,Watson,PROPN,O
1,what,what,PRON,WP,dobj,",",PUNCT,O
1,do,do,AUX,VB,aux,what,PRON,O
1,you,-PRON-,PRON,PRP,nsubj,do,AUX,O
1,make,make,VERB,VB,ROOT,you,PRON,O
1,of,of,ADP,IN,prep,make,VERB,O
1,it,-PRON-,PRON,PRP,pobj,of,ADP,O
1,?,?,PUNCT,.,punct,it,PRON,O
1,'','',PUNCT,'',punct,?,PUNCT,O
1,Holmes,Holmes,PROPN,NNP,nsubj,.,PUNCT,O
1,was,be,AUX,VBD,aux,Holmes,PROPN,O
1,sitting,sit,VERB,VBG,ROOT,was,AUX,O
1,with,with,ADP,IN,prep,sitting,VERB,O
1,his,-PRON-,DET,PRP$,poss,with,ADP,O
1,back,back,ADV,RB,pobj,his,DET,O
1,to,to,ADP,IN,prep,back,ADV,O
1,me,-PRON-,PRON,PRP,pobj,to,ADP,O
1,",",",",PUNCT,",",punct,me,PRON,O
1,and,and,CCONJ,CC,cc,",",PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,and,CCONJ,O
1,had,have,AUX,VBD,aux,I,PRON,O
1,given,give,VERB,VBN,conj,had,AUX,O
1,him,-PRON-,PRON,PRP,dative,given,VERB,O
1,no,no,INTJ,UH,det,him,PRON,B-NEG
1,sign,sign,NOUN,NN,dobj,no,INTJ,O
1,of,of,ADP,IN,prep,sign,NOUN,O
1,my,-PRON-,DET,PRP$,poss,of,ADP,O
1,occupation,occupation,NOUN,NN,pobj,my,DET,O
1,.,.,PUNCT,.,punct,occupation,NOUN,O
1,``,`,PUNCT,``,punct,?,PUNCT,O
1,How,how,ADV,WRB,advmod,``,PUNCT,O
1,did,do,AUX,VBD,aux,How,ADV,O
1,you,-PRON-,PRON,PRP,nsubj,did,AUX,O
1,know,know,VERB,VB,ROOT,you,PRON,O
1,what,what,PRON,WP,dobj,know,VERB,O
1,I,-PRON-,PRON,PRP,nsubj,what,PRON,O
1,was,be,AUX,VBD,aux,I,PRON,O
1,doing,do,VERB,VBG,ccomp,was,AUX,O
1,?,?,PUNCT,.,punct,doing,VERB,O
1,I,-PRON-,PRON,PRP,nsubj,'',PUNCT,O
1,believe,believe,VERB,VB,ROOT,I,PRON,O
1,you,-PRON-,PRON,PRP,nsubj,believe,VERB,O
1,have,have,AUX,VBP,ccomp,you,PRON,O
1,eyes,eye,NOUN,NNS,dobj,have,AUX,O
1,in,in,ADP,IN,prep,eyes,NOUN,O
1,the,the,DET,DT,det,in,ADP,O
1,back,back,ADV,RB,pobj,the,DET,O
1,of,of,ADP,IN,prep,back,ADV,O
1,your,-PRON-,DET,PRP$,poss,of,ADP,O
1,head,head,PROPN,NNP,pobj,your,DET,O
1,.,.,PUNCT,.,punct,head,PROPN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,``,PUNCT,O
1,have,have,AUX,VBP,preconj,I,PRON,O
1,",",",",PUNCT,",",punct,have,AUX,O
1,at,at,ADP,IN,advmod,",",PUNCT,O
1,least,least,ADJ,JJS,advmod,at,ADP,O
1,",",",",PUNCT,",",punct,least,ADJ,O
1,a,a,X,LS,nsubj,",",PUNCT,O
1,well-polished,well-polished,ADJ,JJ,amod,a,X,O
1,",",",",PUNCT,",",punct,well-polished,ADJ,O
1,silver-plated,silver-plated,ADJ,JJ,preconj,",",PUNCT,O
1,coffee-pot,coffee-pot,PROPN,NNP,advmod,silver-plated,ADJ,O
1,in,in,ADP,IN,prep,coffee-pot,PROPN,O
1,front,front,ADJ,JJ,pobj,in,ADP,O
1,of,of,ADP,IN,prep,front,ADJ,O
1,me,-PRON-,PRON,PRP,pobj,of,ADP,O
1,",",",",PUNCT,",",punct,me,PRON,O
1,'','',PUNCT,'',punct,",",PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,he,-PRON-,PRON,PRP,nsubj,said,VERB,O
1,.,.,PUNCT,.,punct,he,PRON,O
1,``,`,PUNCT,``,punct,?,PUNCT,O
1,But,but,CCONJ,CC,cc,``,PUNCT,O
1,",",",",PUNCT,",",punct,But,CCONJ,O
1,tell,tell,VERB,VB,ROOT,",",PUNCT,O
1,me,-PRON-,PRON,PRP,dobj,tell,VERB,O
1,",",",",PUNCT,",",punct,me,PRON,O
1,Watson,Watson,PROPN,NNP,npadvmod,",",PUNCT,O
1,",",",",PUNCT,",",punct,Watson,PROPN,O
1,what,what,PRON,WP,dobj,",",PUNCT,O
1,do,do,AUX,VB,aux,what,PRON,O
1,you,-PRON-,PRON,PRP,nsubj,do,AUX,O
1,make,make,VERB,VB,ccomp,you,PRON,O
1,of,of,ADP,IN,prep,make,VERB,O
1,our,-PRON-,DET,PRP$,poss,of,ADP,O
1,visitor,visitor,PROPN,NNP,poss,our,DET,O
1,'s,be,AUX,VBZ,case,visitor,PROPN,O
1,stick,stick,PROPN,NNP,pobj,'s,AUX,O
1,?,?,PUNCT,.,punct,stick,PROPN,O
1,Since,since,SCONJ,IN,mark,.,PUNCT,O
1,we,-PRON-,PRON,PRP,nsubj,Since,SCONJ,O
1,have,have,AUX,VBP,aux,we,PRON,O
1,been,be,AUX,VBN,advcl,have,AUX,O
1,so,so,ADV,RB,advmod,been,AUX,O
1,unfortunate,unfortunate,ADJ,JJ,acomp,so,ADV,B-NEG
1,as,as,SCONJ,IN,mark,unfortunate,ADJ,O
1,to,to,ADP,IN,aux,as,SCONJ,O
1,miss,miss,PROPN,NNP,xcomp,to,ADP,O
1,him,-PRON-,PRON,PRP,dobj,miss,PROPN,O
1,and,and,CCONJ,CC,cc,him,PRON,O
1,have,have,AUX,VBP,conj,and,CCONJ,O
1,no,no,INTJ,UH,det,have,AUX,O
1,notion,notion,PROPN,NNP,dobj,no,INTJ,O
1,of,of,ADP,IN,prep,notion,PROPN,O
1,his,-PRON-,DET,PRP$,poss,of,ADP,O
1,errand,errand,VERB,VB,pobj,his,DET,O
1,",",",",PUNCT,",",punct,errand,VERB,O
1,this,this,DET,DT,det,",",PUNCT,O
1,accidental,accidental,ADJ,JJ,amod,this,DET,O
1,souvenir,souvenir,PROPN,NNP,nsubj,accidental,ADJ,O
1,becomes,become,VERB,VBZ,ROOT,souvenir,PROPN,O
1,of,of,ADP,IN,prep,becomes,VERB,O
1,importance,importance,NOUN,NN,pobj,of,ADP,O
1,.,.,PUNCT,.,punct,importance,NOUN,O
1,Let,let,VERB,VB,ROOT,'',PUNCT,O
1,me,-PRON-,PRON,PRP,nsubj,Let,VERB,O
1,hear,hear,VERB,VB,ccomp,me,PRON,O
1,you,-PRON-,PRON,PRP,nsubj,hear,VERB,O
1,reconstruct,reconstruct,PROPN,NNP,ccomp,you,PRON,O
1,the,the,DET,DT,det,reconstruct,PROPN,O
1,man,man,NOUN,NN,dobj,the,DET,O
1,by,by,ADP,IN,prep,man,NOUN,O
1,an,an,X,LS,det,by,ADP,O
1,examination,examination,NOUN,NN,pobj,an,X,O
1,of,of,ADP,IN,prep,examination,NOUN,O
1,it,-PRON-,PRON,PRP,pobj,of,ADP,O
1,.,.,PUNCT,.,punct,it,PRON,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,``,PUNCT,O
1,think,think,VERB,VB,parataxis,I,PRON,O
1,",",",",PUNCT,",",punct,think,VERB,O
1,'','',PUNCT,'',punct,",",PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,said,VERB,O
1,",",",",PUNCT,",",punct,I,PRON,O
1,following,follow,VERB,VBG,advcl,",",PUNCT,O
1,as,as,SCONJ,IN,advmod,following,VERB,O
1,far,far,ADV,RB,advmod,as,SCONJ,O
1,as,as,SCONJ,IN,mark,far,ADV,O
1,I,-PRON-,PRON,PRP,nsubj,as,SCONJ,O
1,could,could,VERB,MD,advcl,I,PRON,O
1,the,the,DET,DT,det,could,VERB,O
1,methods,method,NOUN,NNS,dobj,the,DET,O
1,of,of,ADP,IN,prep,methods,NOUN,O
1,my,-PRON-,DET,PRP$,poss,of,ADP,O
1,companion,companion,NOUN,NN,pobj,my,DET,O
1,",",",",PUNCT,",",punct,companion,NOUN,O
1,``,`,PUNCT,``,punct,",",PUNCT,O
1,that,that,SCONJ,IN,mark,``,PUNCT,O
1,Dr.,Dr.,PROPN,NNP,compound,that,SCONJ,O
1,Mortimer,Mortimer,PROPN,NNP,nsubj,Dr.,PROPN,O
1,is,be,AUX,VBZ,ccomp,Mortimer,PROPN,O
1,a,a,X,LS,det,is,AUX,O
1,successful,successful,ADJ,JJ,amod,a,X,O
1,",",",",PUNCT,",",punct,successful,ADJ,O
1,elderly,elderly,ADJ,JJ,amod,",",PUNCT,O
1,medical,medical,ADJ,JJ,amod,elderly,ADJ,O
1,man,man,NOUN,NN,attr,medical,ADJ,O
1,",",",",PUNCT,",",punct,man,NOUN,O
1,well-esteemed,well-esteemed,PROPN,NNP,acl,",",PUNCT,O
1,since,since,SCONJ,IN,mark,well-esteemed,PROPN,O
1,those,those,DET,DT,nsubj,since,SCONJ,O
1,who,who,PRON,WP,nsubj,those,DET,O
1,know,know,VERB,VB,relcl,who,PRON,O
1,him,-PRON-,PRON,PRP,dobj,know,VERB,O
1,give,give,VERB,VB,advcl,him,PRON,O
1,him,-PRON-,PRON,PRP,dative,give,VERB,O
1,this,this,DET,DT,det,him,PRON,O
1,mark,mark,PROPN,NNP,dobj,this,DET,O
1,of,of,ADP,IN,prep,mark,PROPN,O
1,their,-PRON-,DET,PRP$,poss,of,ADP,O
1,appreciation,appreciation,NOUN,NN,pobj,their,DET,O
1,.,.,PUNCT,.,punct,appreciation,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Good,good,ADJ,JJ,ROOT,``,PUNCT,O
1,!,!,PUNCT,.,punct,Good,ADJ,O
1,'','',PUNCT,'',punct,!,PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,Holmes,Holmes,PROPN,NNP,nsubj,said,VERB,O
1,.,.,PUNCT,.,punct,Holmes,PROPN,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,Excellent,excellent,ADJ,JJ,ROOT,``,PUNCT,O
1,!,!,PUNCT,.,punct,Excellent,ADJ,O
1,'','',PUNCT,'',punct,!,PUNCT,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,``,PUNCT,O
1,think,think,VERB,VB,ROOT,I,PRON,O
1,also,also,ADV,RB,advmod,think,VERB,O
1,that,that,SCONJ,IN,mark,also,ADV,O
1,the,the,DET,DT,det,that,SCONJ,O
1,probability,probability,NOUN,NN,nsubj,the,DET,O
1,is,be,AUX,VBZ,ccomp,probability,NOUN,O
1,in,in,ADP,IN,prep,is,AUX,O
1,favour,favour,NOUN,NN,pobj,in,ADP,O
1,of,of,ADP,IN,prep,favour,NOUN,O
1,his,-PRON-,DET,PRP$,nsubj,of,ADP,O
1,being,be,AUX,VBG,pcomp,his,DET,O
1,a,a,X,LS,det,being,AUX,O
1,country,country,NOUN,NN,compound,a,X,O
1,practitioner,practitioner,NOUN,NN,attr,country,NOUN,O
1,who,who,PRON,WP,nsubj,practitioner,NOUN,O
1,does,do,AUX,VBZ,relcl,who,PRON,O
1,a,a,X,LS,det,does,AUX,O
1,great,great,ADJ,JJ,amod,a,X,O
1,deal,deal,NOUN,NN,dobj,great,ADJ,O
1,of,of,ADP,IN,prep,deal,NOUN,O
1,his,-PRON-,DET,PRP$,nsubj,of,ADP,O
1,visiting,visit,VERB,VBG,pcomp,his,DET,O
1,on,on,ADP,IN,prep,visiting,VERB,O
1,foot,foot,NOUN,NN,pobj,on,ADP,O
1,.,.,PUNCT,.,punct,foot,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,Why,why,ADV,WRB,advmod,``,PUNCT,O
1,so,so,ADV,RB,ROOT,Why,ADV,O
1,?,?,PUNCT,.,punct,so,ADV,O
1,'','',PUNCT,'',punct,?,PUNCT,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Because,because,SCONJ,IN,mark,``,PUNCT,O
1,this,this,DET,DT,det,Because,SCONJ,O
1,stick,stick,PROPN,NNP,nsubjpass,this,DET,O
1,",",",",PUNCT,",",punct,stick,PROPN,O
1,though,though,SCONJ,IN,advmod,",",PUNCT,O
1,originally,originally,ADV,RB,advmod,though,SCONJ,O
1,a,a,X,LS,det,originally,ADV,O
1,very,very,ADV,RB,advmod,a,X,O
1,handsome,handsome,ADJ,JJ,amod,very,ADV,O
1,one,one,NUM,CD,nsubjpass,handsome,ADJ,O
1,has,have,AUX,VBZ,aux,one,NUM,O
1,been,be,AUX,VBN,auxpass,has,AUX,O
1,so,so,ADV,RB,advmod,been,AUX,O
1,knocked,knock,VERB,VBN,ROOT,so,ADV,O
1,about,about,ADP,IN,prep,knocked,VERB,O
1,that,that,SCONJ,IN,mark,about,ADP,O
1,I,-PRON-,PRON,PRP,nsubj,that,SCONJ,O
1,can,can,VERB,MD,aux,I,PRON,O
1,hardly,hardly,ADV,RB,advmod,can,VERB,O
1,imagine,imagine,VERB,VB,ccomp,hardly,ADV,O
1,a,a,X,LS,det,imagine,VERB,O
1,town,town,NOUN,NN,compound,a,X,O
1,practitioner,practitioner,NOUN,NN,dobj,town,NOUN,O
1,carrying,carry,VERB,VBG,acl,practitioner,NOUN,O
1,it,-PRON-,PRON,PRP,dobj,carrying,VERB,O
1,.,.,PUNCT,.,punct,it,PRON,O
1,The,the,DET,DT,det,'',PUNCT,O
1,thick-iron,thick-iron,PROPN,NNP,compound,The,DET,O
1,ferrule,ferrule,NOUN,NN,nsubjpass,thick-iron,PROPN,O
1,is,be,AUX,VBZ,auxpass,ferrule,NOUN,O
1,worn,wear,VERB,VBN,ccomp,is,AUX,O
1,down,down,ADV,RB,prt,worn,VERB,O
1,",",",",PUNCT,",",punct,down,ADV,O
1,so,so,ADV,RB,advmod,",",PUNCT,O
1,it,-PRON-,PRON,PRP,nsubj,so,ADV,O
1,is,be,AUX,VBZ,ROOT,it,PRON,O
1,evident,evident,ADJ,JJ,acomp,is,AUX,O
1,that,that,SCONJ,IN,mark,evident,ADJ,O
1,he,-PRON-,PRON,PRP,nsubj,that,SCONJ,O
1,has,have,AUX,VBZ,aux,he,PRON,O
1,done,do,VERB,VBN,ccomp,has,AUX,O
1,a,a,X,LS,det,done,VERB,O
1,great,great,ADJ,JJ,amod,a,X,O
1,amount,amount,NOUN,NN,dobj,great,ADJ,O
1,of,of,ADP,IN,prep,amount,NOUN,O
1,walking,walk,VERB,VBG,pcomp,of,ADP,O
1,with,with,ADP,IN,prep,walking,VERB,O
1,it,-PRON-,PRON,PRP,pobj,with,ADP,O
1,.,.,PUNCT,.,punct,it,PRON,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Perfectly,perfectly,ADV,RB,advmod,``,PUNCT,O
1,sound,sound,PROPN,NNP,ROOT,Perfectly,ADV,O
1,!,!,PUNCT,.,punct,sound,PROPN,O
1,'','',PUNCT,'',punct,!,PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,Holmes,Holmes,PROPN,NNP,nsubj,said,VERB,O
1,.,.,PUNCT,.,punct,Holmes,PROPN,O
1,``,`,PUNCT,``,punct,',PUNCT,O
1,And,and,CCONJ,CC,cc,``,PUNCT,O
1,then,then,ADV,RB,advmod,And,CCONJ,O
1,again,again,ADV,RB,advmod,then,ADV,O
1,",",",",PUNCT,",",punct,again,ADV,O
1,there,there,ADV,RB,expl,",",PUNCT,O
1,is,be,AUX,VBZ,ROOT,there,ADV,O
1,the,the,DET,DT,det,is,AUX,O
1,`,`,PUNCT,'',punct,the,DET,O
1,friends,friend,NOUN,NNS,attr,`,PUNCT,O
1,of,of,ADP,IN,prep,friends,NOUN,O
1,the,the,DET,DT,det,of,ADP,O
1,C.C.H,c.c.h,NOUN,NN,pobj,the,DET,O
1,.,.,PUNCT,.,punct,C.C.H,NOUN,O
1,',',PUNCT,'',punct,.,PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,'',PUNCT,O
1,should,should,VERB,MD,aux,I,PRON,O
1,guess,guess,VERB,VB,ROOT,should,VERB,O
1,that,that,SCONJ,IN,nsubj,guess,VERB,O
1,to,to,ADP,IN,aux,that,SCONJ,O
1,be,be,AUX,VB,ccomp,to,ADP,O
1,the,the,DET,DT,det,be,AUX,O
1,Something,something,PRON,NN,compound,the,DET,O
1,Hunt,Hunt,PROPN,NNP,attr,Something,PRON,O
1,",",",",PUNCT,",",punct,Hunt,PROPN,O
1,the,the,DET,DT,det,",",PUNCT,O
1,local,local,ADJ,JJ,amod,the,DET,O
1,hunt,hunt,PROPN,NNP,appos,local,ADJ,O
1,to,to,ADP,IN,prep,hunt,PROPN,O
1,whose,whose,DET,WP$,poss,to,ADP,O
1,members,member,NOUN,NNS,pcomp,whose,DET,O
1,he,-PRON-,PRON,PRP,nsubj,members,NOUN,O
1,has,have,AUX,VBZ,aux,he,PRON,O
1,possibly,possibly,ADV,RB,advmod,has,AUX,O
1,given,give,VERB,VBN,relcl,possibly,ADV,O
1,some,some,DET,DT,det,given,VERB,O
1,surgical,surgical,ADJ,JJ,amod,some,DET,O
1,assistance,assistance,NOUN,NN,dobj,surgical,ADJ,O
1,",",",",PUNCT,",",punct,assistance,NOUN,O
1,and,and,CCONJ,CC,cc,",",PUNCT,O
1,which,which,DET,WDT,nsubj,and,CCONJ,O
1,has,have,AUX,VBZ,aux,which,DET,O
1,made,make,VERB,VBN,conj,has,AUX,O
1,him,-PRON-,PRON,PRP,nsubj,made,VERB,O
1,a,a,X,LS,det,him,PRON,O
1,small,small,ADJ,JJ,amod,a,X,O
1,presentation,presentation,PROPN,NNP,ccomp,small,ADJ,O
1,in,in,ADP,IN,prep,presentation,PROPN,O
1,return,return,NOUN,NN,pobj,in,ADP,O
1,.,.,PUNCT,.,punct,return,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Really,really,ADV,RB,advmod,``,PUNCT,O
1,",",",",PUNCT,",",punct,Really,ADV,O
1,Watson,Watson,PROPN,NNP,npadvmod,",",PUNCT,O
1,",",",",PUNCT,",",punct,Watson,PROPN,O
1,you,-PRON-,PRON,PRP,nsubj,",",PUNCT,O
1,excel,excel,PROPN,NNP,ccomp,you,PRON,O
1,yourself,-PRON-,PRON,PRP,dobj,excel,PROPN,O
1,",",",",PUNCT,",",punct,yourself,PRON,O
1,'','',PUNCT,'',punct,",",PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,Holmes,Holmes,PROPN,NNP,nsubj,said,VERB,O
1,",",",",PUNCT,",",punct,Holmes,PROPN,O
1,pushing,push,VERB,VBG,advcl,",",PUNCT,O
1,back,back,ADV,RB,prt,pushing,VERB,O
